alternate-protocol,80:quic
content-length,0
x-xss-protection,1; mode=block
age,0
server,gws
connection,Keep-Alive
date,"Mon, 23 Jun 2014 11:12:53 GMT"
x-frame-options,SAMEORIGIN
content-type,text/html; charset=UTF-8
,
alternate-protocol,80:quic
content-length,275
x-xss-protection,1; mode=block
age,0
server,gws
connection,Keep-Alive
location,https://www.google.co.in/?gfe_rd=cr&ei=tQuoU8n8KIaM8QeZ6oFI&gws_rd=ssl
cache-control,private
date,"Mon, 23 Jun 2014 11:12:54 GMT"
x-frame-options,SAMEORIGIN
content-type,text/html; charset=UTF-8
,
content-length,35
expires,"Fri, 04 Aug 1978 12:00:00 GMT"
server,QS
connection,close
pragma,no-cache
cache-control,"private, no-cache, no-store, proxy-revalidate"
date,"Mon, 23 Jun 2014 11:13:08 GMT"
content-type,image/gif
,
x-cache,HIT
transfer-encoding,chunked
age,779
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Thu, 03 Feb 2011 05:32:43 GMT"
connection,Keep-Alive
etag,"""d9c5-49b5a184a6b9a-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,application/javascript
,
content-length,1140
x-cache,HIT
accept-ranges,bytes
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 18 May 2014 17:48:49 GMT"
connection,Keep-Alive
etag,"""474-4f9b04250e240"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,image/jpeg
age,0
,
content-length,15355
x-cache,HIT
accept-ranges,bytes
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sat, 21 Jun 2014 21:35:32 GMT"
connection,Keep-Alive
etag,"""3bfb-4fc5f63b8f100"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,image/jpeg
age,0
,
content-length,2009
x-cache,HIT
accept-ranges,bytes
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 08 Dec 2013 06:10:17 GMT"
connection,Keep-Alive
etag,"""7d9-4ecffbbb72440"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,image/jpeg
age,0
,
content-length,1091
x-cache,HIT
accept-ranges,bytes
x-pt-backend,7
server,NetDNA-cache/2.2
last-modified,"Sat, 14 Dec 2013 17:53:48 GMT"
connection,Keep-Alive
etag,"""443-4ed8242c315d3"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,image/jpeg
age,0
,
content-length,18167
x-cache,HIT
accept-ranges,bytes
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 22 Jun 2014 14:14:53 GMT"
connection,Keep-Alive
etag,"""46f7-4fc6d59ad3140"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,image/jpeg
age,46
,
x-cache,HIT
transfer-encoding,chunked
age,802
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Thu, 03 Feb 2011 05:32:43 GMT"
connection,Keep-Alive
etag,"""6bc-49b5a184a9a77-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,application/javascript
,
x-cache,HIT
transfer-encoding,chunked
age,794
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 12 Jun 2011 21:09:41 GMT"
connection,Keep-Alive
etag,"""24e1-4a58a38af710e-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,application/javascript
,
x-cache,HIT
transfer-encoding,chunked
age,2692
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Wed, 28 May 2014 14:23:21 GMT"
connection,Keep-Alive
etag,"""c16f-4fa768dec4840-gzip"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,text/css
,
x-cache,HIT
transfer-encoding,chunked
age,709
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Tue, 27 May 2014 16:44:16 GMT"
connection,Keep-Alive
etag,"""168dd-4fa64680ccf23-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,text/css
,
x-cache,HIT
transfer-encoding,chunked
age,817
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Thu, 03 Feb 2011 05:32:43 GMT"
connection,Keep-Alive
etag,"""b046-49b5a184a7b3b-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:04 GMT"
content-type,application/javascript
,
content-length,98
accept-ranges,bytes
x-pt-backend,5
server,Apache/2.4.6 (Unix) OpenSSL/1.0.1e PHP/5.5.3 mod_qos/10.20
last-modified,"Thu, 03 Feb 2011 05:32:45 GMT"
connection,Keep-Alive
etag,"""62-49b5a1868a756"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:03 GMT"
content-type,image/gif
age,1020
,
content-length,41763
x-drupal-cache,MISS
x-powered-by,PHP/5.5.9
content-encoding,gzip
accept-ranges,bytes
expires,"Mon, 23 Jun 2014 11:21:45 GMT"
vary,Accept-Encoding
x-pt-backend,5
server,Apache/2.4.9 (Unix) OpenSSL/1.0.1h PHP/5.5.9 mod_qos/10.20
last-modified,"Mon, 23 Jun 2014 11:06:45 +0000"
connection,Keep-Alive
etag,"""1403521605"""
cache-control,"public, max-age=900"
date,"Mon, 23 Jun 2014 11:13:02 GMT"
content-type,text/html; charset=utf-8
age,375
,
content-length,72
accept-ranges,bytes
x-pt-backend,5
server,Apache/2.4.6 (Unix) OpenSSL/1.0.1e PHP/5.5.3 mod_qos/10.20
last-modified,"Thu, 03 Feb 2011 05:32:45 GMT"
connection,Keep-Alive
etag,"""48-49b5a1868a756"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:03 GMT"
content-type,image/gif
age,1023
,
content-length,205
accept-ranges,bytes
x-pt-backend,5
server,Apache/2.4.6 (Unix) OpenSSL/1.0.1e PHP/5.5.3 mod_qos/10.20
last-modified,"Thu, 03 Feb 2011 05:32:45 GMT"
connection,Keep-Alive
etag,"""cd-49b5a1868a756"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:03 GMT"
content-type,image/gif
age,998
,
content-length,197
accept-ranges,bytes
x-pt-backend,5
server,Apache/2.4.6 (Unix) OpenSSL/1.0.1e PHP/5.5.3 mod_qos/10.20
last-modified,"Thu, 03 Feb 2011 05:32:45 GMT"
connection,Keep-Alive
etag,"""c5-49b5a1868a756"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:03 GMT"
content-type,image/gif
age,1031
,
content-length,2131
accept-ranges,bytes
x-pt-backend,5
server,Apache/2.4.6 (Unix) OpenSSL/1.0.1e PHP/5.5.3 mod_qos/10.20
last-modified,"Mon, 13 Jun 2011 20:33:28 GMT"
connection,Keep-Alive
etag,"""853-4a59dd4f7768b"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:08 GMT"
content-type,image/png
age,1026
,
content-length,0
set-cookie,"IMRID=c1e7fd98-148d-4695-88c8-2c6fbfff4e28;Path=/;Domain=imrworldwide.com;Expires=Wed, 22-Jun-2016 11:13:10 GMT;Max-Age=63072000"
age,0
expires,"Thu, 01 Dec 1994 16:00:00 GMT"
server,nginx
connection,Keep-Alive
location,http://secure-us.imrworldwide.com/cgi-bin/m?ci=us-505189h&cg=0&cc=1&si=http%3A//www.psychologytoday.com/blog/index&rp=https%3A//www.google.co.in/&ts=compact&rnd=1403521987551&ja=1
pragma,no-cache
cache-control,no-cache
date,"Mon, 23 Jun 2014 11:13:10 GMT"
p3p,"P3P policyref=""http://www.imrworldwide.com/w3c/p3p.xml"", CP=""NOI DSP COR NID PSA ADM OUR IND UNI NAV COM"""
,
content-length,35
expires,"Fri, 04 Aug 1978 12:00:00 GMT"
server,QS
connection,close
pragma,no-cache
cache-control,"private, no-cache, no-store, proxy-revalidate"
date,"Mon, 23 Jun 2014 11:13:26 GMT"
content-type,image/gif
,
content-length,1130
x-cache,HIT
accept-ranges,bytes
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 22 Jun 2014 14:15:58 GMT"
connection,Keep-Alive
etag,"""46a-4fc6d5d8d0380"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:23 GMT"
content-type,image/jpeg
age,339
,
content-length,25294
x-cache,HIT
accept-ranges,bytes
x-pt-backend,7
server,NetDNA-cache/2.2
last-modified,"Mon, 23 Jun 2014 07:26:10 GMT"
connection,Keep-Alive
etag,"""62ce-4fc7bc1e2ff92"""
cache-control,max-age=3600
date,"Mon, 23 Jun 2014 11:13:23 GMT"
content-type,image/jpeg
age,288
,
x-cache,HIT
transfer-encoding,chunked
age,769
vary,Accept-Encoding
x-pt-backend,5
server,NetDNA-cache/2.2
last-modified,"Sun, 12 Jun 2011 21:09:41 GMT"
connection,Keep-Alive
etag,"""ba8-4a58a38b02c8d-gzip"""
cache-control,max-age=900
date,"Mon, 23 Jun 2014 11:13:23 GMT"
content-type,application/javascript
,
content-length,3337
x-cache,EXPIRED
accept-ranges,bytes
